"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000000146" 2333 2328 2377 1795 3664 2008 1957 2369
"ENSBTAG00000000147" 496 467 438 450 747 289 339 518
"ENSBTAG00000000149" 2024 1751 2523 1697 2400 1554 1960 1865
"ENSBTAG00000000152" 7648 6643 8146 6429 11781 5741 5682 7866
"ENSBTAG00000000153" 78 123 100 79 166 89 72 106
"ENSBTAG00000000154" 273 332 437 308 441 219 199 310
"ENSBTAG00000000156" 413 431 536 481 592 286 404 410
"ENSBTAG00000000157" 171 153 144 222 184 133 175 158
"ENSBTAG00000000158" 0 0 2 0 0 0 0 1
"ENSBTAG00000000160" 397 670 281 407 515 229 205 197
"ENSBTAG00000000161" 6 4 2 6 2 4 12 4
"ENSBTAG00000000162" 1094 1274 1167 1168 881 973 922 994
"ENSBTAG00000000163" 1198 2655 1170 1300 1689 839 1092 1352
"ENSBTAG00000000164" 2 3 1 1 5 4 7 3
"ENSBTAG00000000168" 0 0 0 0 0 0 0 0
"ENSBTAG00000000169" 49 101 84 50 86 26 63 102
"ENSBTAG00000000170" 10 36 17 11 27 24 20 7
"ENSBTAG00000000171" 0 0 0 0 0 0 0 0
"ENSBTAG00000000172" 0 5 4 0 0 0 2 1
"ENSBTAG00000000175" 2523 2599 3000 2572 3231 2009 2288 2450
"ENSBTAG00000000176" 4568 5245 6844 4630 7172 4552 5261 4919
"ENSBTAG00000000177" 109 44 343 122 188 14 158 438
"ENSBTAG00000000179" 71 84 94 71 102 60 50 75
"ENSBTAG00000000181" 21 18 42 9 59 32 50 46
"ENSBTAG00000000182" 2731 4440 3225 2733 2567 2354 2449 1924
"ENSBTAG00000000183" 58 133 187 91 84 67 86 138
"ENSBTAG00000000184" 1510 1649 1695 1300 2678 1194 1100 1587
"ENSBTAG00000000185" 182 154 209 107 109 69 259 107
"ENSBTAG00000000186" 240 296 191 260 220 193 143 153
"ENSBTAG00000000188" 6 6 3 0 4 2 18 0
"ENSBTAG00000000189" 49 32 64 38 43 24 62 54
"ENSBTAG00000000191" 597 723 390 497 496 506 578 390
"ENSBTAG00000000195" 179 229 267 210 242 213 184 214
"ENSBTAG00000000197" 534 609 791 463 602 391 401 566
"ENSBTAG00000000198" 321 128 82 589 26 17 14 42
"ENSBTAG00000000199" 666 690 814 846 1035 700 464 676
"ENSBTAG00000000201" 2743 2481 2294 2263 2494 1644 1698 2092
"ENSBTAG00000000202" 112 121 131 131 176 174 118 104
"ENSBTAG00000000203" 2361 3126 2515 2337 2572 2345 2092 1830
"ENSBTAG00000000204" 410 336 507 207 591 292 391 396
"ENSBTAG00000000205" 1531 1589 1688 1239 2463 1390 1638 2028
"ENSBTAG00000000207" 131 168 155 89 207 127 124 147
"ENSBTAG00000000210" 1243 1063 1365 881 2477 909 827 1591
"ENSBTAG00000000211" 135 148 150 127 212 128 147 170
"ENSBTAG00000000212" 1363 1860 1536 1100 1759 1102 1107 956
"ENSBTAG00000000213" 727 838 851 640 1097 656 625 740
"ENSBTAG00000000214" 0 0 10 0 0 0 0 0
"ENSBTAG00000000215" 5354 6659 4256 5473 7985 3652 3288 4696
"ENSBTAG00000000218" 226 220 240 199 353 179 245 278
"ENSBTAG00000000219" 0 3 3 0 1 0 1 3
"ENSBTAG00000000220" 211 293 274 331 333 236 213 404
"ENSBTAG00000000221" 189 231 336 242 333 193 166 209
"ENSBTAG00000000222" 2669 2817 3367 2846 3830 2083 2407 2729
"ENSBTAG00000000223" 1858 2016 2288 1883 2552 1572 1746 1917
"ENSBTAG00000000224" 389 559 539 433 721 450 372 303
"ENSBTAG00000000225" 270 339 341 271 359 332 272 300
"ENSBTAG00000000226" 0 2 2 0 0 0 0 5
"ENSBTAG00000000228" 0 0 0 0 0 0 0 0
"ENSBTAG00000000229" 0 0 0 0 0 0 0 0
"ENSBTAG00000000231" 3654 3620 3476 4033 3556 2512 3020 3062
"ENSBTAG00000000232" 2 4 0 5 2 6 4 3
"ENSBTAG00000000233" 28 72 73 14 91 125 79 38
"ENSBTAG00000000236" 2016 2440 2098 1722 3317 1992 1954 1703
"ENSBTAG00000000237" 0 0 1 0 0 0 0 0
"ENSBTAG00000000238" 23 40 74 6 38 41 58 42
"ENSBTAG00000000240" 148 106 234 164 196 132 124 122
"ENSBTAG00000000241" 1606 1539 1741 1199 2376 1213 1271 1471
"ENSBTAG00000000242" 9 2 3 5 6 0 1 1
