"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000008085" 0 0 0 0 0 0 0 1
"ENSBTAG00000008088" 17 14 28 19 179 56 9 45
"ENSBTAG00000008089" 548 488 618 438 669 395 430 465
"ENSBTAG00000008090" 408 556 514 366 1032 475 410 519
"ENSBTAG00000008091" 498 454 443 508 229 338 399 327
"ENSBTAG00000008092" 26 34 74 22 151 69 61 58
"ENSBTAG00000008093" 95 85 97 80 205 90 62 92
"ENSBTAG00000008095" 12 5 6 5 12 5 6 14
"ENSBTAG00000008096" 248 286 562 117 174 139 287 244
"ENSBTAG00000008097" 1885 2058 2286 1380 3936 2426 2168 2878
"ENSBTAG00000008098" 202 182 150 283 204 114 115 170
"ENSBTAG00000008099" 95 96 223 45 231 182 138 160
"ENSBTAG00000008100" 31 37 26 7 11 5 12 13
"ENSBTAG00000008101" 1002 854 1451 608 1778 1021 1056 1255
"ENSBTAG00000008102" 21 22 12 6 8 13 16 20
"ENSBTAG00000008103" 1810 1677 1509 6170 664 886 901 1484
"ENSBTAG00000008105" 28 42 33 61 61 16 19 43
"ENSBTAG00000008109" 1095 1176 1090 716 982 601 806 585
"ENSBTAG00000008110" 545 678 698 589 869 656 572 448
"ENSBTAG00000008111" 19 26 39 6 26 29 41 14
"ENSBTAG00000008112" 1534 1688 2386 1253 1845 1516 1849 1794
"ENSBTAG00000008113" 1055 1411 1865 819 1289 1366 975 1684
"ENSBTAG00000008114" 3787 4947 8346 4256 9486 4265 4229 7830
"ENSBTAG00000008115" 710 798 625 556 1113 603 531 598
"ENSBTAG00000008116" 675 860 827 661 984 672 625 572
"ENSBTAG00000008117" 0 0 0 0 0 0 0 0
"ENSBTAG00000008118" 1034 1243 1261 1183 1126 983 800 946
"ENSBTAG00000008120" 485 616 669 544 516 497 493 376
"ENSBTAG00000008121" 207 318 33 615 20 8 17 29
"ENSBTAG00000008122" 2405 3529 3082 3195 2878 3108 2479 2161
"ENSBTAG00000008124" 126 139 132 135 118 90 129 105
"ENSBTAG00000008125" 60 65 82 33 198 62 61 78
"ENSBTAG00000008126" 130 108 157 92 163 119 111 126
"ENSBTAG00000008127" 0 2 0 0 0 0 0 0
"ENSBTAG00000008129" 137 68 209 29 618 231 77 78
"ENSBTAG00000008130" 238 379 349 277 270 299 208 231
"ENSBTAG00000008131" 705 1076 878 964 876 728 718 648
"ENSBTAG00000008132" 200 208 260 167 475 241 156 149
"ENSBTAG00000008133" 430 523 591 326 396 442 459 368
"ENSBTAG00000008134" 0 0 0 0 1 0 1 2
"ENSBTAG00000008135" 1540 2549 1766 2013 1415 1820 1569 1487
"ENSBTAG00000008136" 2167 2668 2994 2220 2726 2070 2000 2082
"ENSBTAG00000008137" 0 1 4 1 0 2 1 3
"ENSBTAG00000008138" 60 107 62 85 106 54 40 51
"ENSBTAG00000008139" 109 68 111 92 187 68 53 92
"ENSBTAG00000008140" 3353 5725 5102 3404 6539 5306 5878 4388
"ENSBTAG00000008142" 620 607 907 335 916 720 707 692
"ENSBTAG00000008143" 411 510 718 366 542 428 452 472
"ENSBTAG00000008144" 48 53 73 62 91 64 48 113
"ENSBTAG00000008145" 202 243 269 167 338 173 206 188
"ENSBTAG00000008147" 159 181 358 142 401 229 348 297
"ENSBTAG00000008148" 2 1 0 0 0 0 0 0
"ENSBTAG00000008150" 391 408 645 155 537 637 432 328
"ENSBTAG00000008151" 329 346 424 310 639 290 305 355
"ENSBTAG00000008152" 0 0 3 0 0 0 0 0
"ENSBTAG00000008153" 1006 876 996 764 1817 886 961 921
"ENSBTAG00000008154" 29 40 74 22 83 56 51 67
"ENSBTAG00000008155" 2 2 3 7 11 1 2 8
"ENSBTAG00000008158" 75 65 148 54 110 113 106 95
"ENSBTAG00000008159" 11 8 25 8 13 10 10 17
"ENSBTAG00000008160" 5160 5218 6232 3351 4837 2209 3910 3006
"ENSBTAG00000008161" 447 21 218 5 40 4 104 15
"ENSBTAG00000008165" 74 89 107 49 83 71 97 96
"ENSBTAG00000008167" 6517 7729 10399 5804 11531 6530 7872 7743
"ENSBTAG00000008168" 0 5 11 3 3 5 3 8
"ENSBTAG00000008169" 132 173 208 111 172 129 136 136
"ENSBTAG00000008170" 785 766 742 716 1395 743 669 785
"ENSBTAG00000008172" 56 60 68 76 121 81 54 40
"ENSBTAG00000008173" 376 388 373 386 478 393 395 316
"ENSBTAG00000008175" 335 473 507 469 471 316 343 463
"ENSBTAG00000008176" 85 97 125 127 163 103 67 105
"ENSBTAG00000008177" 0 0 0 0 1 0 0 0
"ENSBTAG00000008180" 58 113 83 140 290 139 58 147
"ENSBTAG00000008181" 190 220 232 166 403 215 135 203
"ENSBTAG00000008182" 8 34 301 10 658 30 24 50
"ENSBTAG00000008183" 517 454 641 502 790 426 428 604
"ENSBTAG00000008184" 2267 2603 2355 2722 3866 2367 1798 2275
"ENSBTAG00000008185" 41 55 43 41 67 19 29 58
"ENSBTAG00000008186" 235 346 305 248 273 288 311 222
"ENSBTAG00000008188" 240 247 298 183 425 189 191 276
"ENSBTAG00000008190" 469 371 366 310 551 334 244 321
"ENSBTAG00000008191" 1503 1893 1519 1228 3185 1419 1250 1304
"ENSBTAG00000008192" 77 60 81 48 140 76 57 77
"ENSBTAG00000008193" 28 46 14 14 56 18 22 52
"ENSBTAG00000008195" 36 45 66 32 45 36 45 37
"ENSBTAG00000008196" 117 161 186 134 174 145 103 117
"ENSBTAG00000008197" 51 43 63 55 44 62 61 81
"ENSBTAG00000008198" 105 95 93 40 146 85 104 73
"ENSBTAG00000008201" 21 42 22 24 69 54 17 76
"ENSBTAG00000008202" 2266 2853 2334 2240 3342 2054 1709 2061
"ENSBTAG00000008203" 910 1290 824 577 1200 1246 1063 593
"ENSBTAG00000008204" 188 346 333 275 388 233 298 203
"ENSBTAG00000008213" 884 796 935 626 1278 588 625 785
"ENSBTAG00000008216" 154 222 302 535 2973 990 164 634
"ENSBTAG00000008218" 1929 2269 2413 2203 2512 1671 1532 1739
"ENSBTAG00000008219" 1074 1497 1351 1226 1197 1073 854 921
"ENSBTAG00000008220" 102 121 110 76 58 69 71 54
"ENSBTAG00000008222" 53 115 59 63 64 53 44 29
"ENSBTAG00000008223" 25 20 65 21 141 78 55 43
"ENSBTAG00000008224" 6648 8738 7470 9322 5591 5506 5831 5159
"ENSBTAG00000008226" 0 0 0 0 0 0 0 0
"ENSBTAG00000008227" 16 31 18 16 55 16 20 15
"ENSBTAG00000008228" 43 71 121 94 33 45 119 67
"ENSBTAG00000008232" 722 673 585 430 1466 532 443 768
"ENSBTAG00000008236" 3 0 0 0 0 3 0 0
"ENSBTAG00000008237" 364 551 403 392 552 376 357 357
"ENSBTAG00000008238" 0 0 0 1 0 2 0 0
"ENSBTAG00000008240" 22 12 14 27 6 7 22 11
"ENSBTAG00000008241" 597 747 806 788 800 688 452 540
"ENSBTAG00000008243" 808 805 943 667 1245 676 629 857
"ENSBTAG00000008244" 0 0 1 0 0 0 0 1
"ENSBTAG00000008248" 2329 1403 2128 2368 3202 1781 1508 1407
"ENSBTAG00000008250" 50 70 56 24 294 63 44 83
"ENSBTAG00000008251" 1438 1593 1472 1425 1457 1367 1411 1140
"ENSBTAG00000008253" 1845 994 1251 947 2835 889 1004 1552
"ENSBTAG00000008255" 251 262 381 101 1225 616 254 211
"ENSBTAG00000008257" 0 1 1 0 6 0 0 3
"ENSBTAG00000008259" 16 3 16 20 49 14 21 9
"ENSBTAG00000008260" 1769 1811 1712 1494 1715 1316 1532 1428
"ENSBTAG00000008267" 673 697 813 674 1085 560 459 684
"ENSBTAG00000008269" 1347 967 1543 1311 655 568 1077 726
"ENSBTAG00000008271" 618 415 421 612 511 338 392 551
"ENSBTAG00000008272" 29 55 43 17 33 18 34 34
"ENSBTAG00000008274" 254 107 1675 177 1326 35 862 2254
"ENSBTAG00000008275" 450 323 335 722 116 95 240 246
"ENSBTAG00000008278" 63 56 105 75 58 34 77 66
"ENSBTAG00000008279" 463 558 754 422 1132 565 512 773
"ENSBTAG00000008280" 131 62 119 128 112 80 69 136
"ENSBTAG00000008283" 165 241 283 121 464 185 221 250
"ENSBTAG00000008285" 2942 3605 3384 3388 3994 2056 2816 3361
"ENSBTAG00000008287" 1959 1685 1766 1168 3779 1345 1439 1841
"ENSBTAG00000008288" 843 958 1317 864 1237 974 1158 1053
"ENSBTAG00000008289" 436 420 559 329 712 389 474 415
"ENSBTAG00000008291" 316 250 281 156 604 493 188 321
"ENSBTAG00000008292" 960 1405 1092 1274 1346 1136 753 1083
"ENSBTAG00000008293" 2866 2788 2928 1868 2919 2518 2583 2554
"ENSBTAG00000008294" 242 357 459 113 289 156 312 234
"ENSBTAG00000008295" 0 0 2 0 3 0 0 0
"ENSBTAG00000008296" 479 617 577 383 556 446 452 393
"ENSBTAG00000008299" 86 37 238 81 182 340 61 71
"ENSBTAG00000008300" 19259 19710 26299 16856 68030 26517 21061 40438
"ENSBTAG00000008301" 225 289 122 186 256 97 78 143
"ENSBTAG00000008302" 903 993 1039 802 1363 867 763 932
"ENSBTAG00000008303" 3305 4596 4184 3513 5871 3266 3169 3123
"ENSBTAG00000008306" 1295 1612 1258 1173 1672 1086 873 1153
"ENSBTAG00000008307" 1014 933 1090 851 1933 1122 964 1036
"ENSBTAG00000008308" 45 9 55 10 42 10 60 49
"ENSBTAG00000008309" 252 330 296 239 460 258 241 263
"ENSBTAG00000008310" 1134 1395 1243 1140 1481 1164 1344 1104
"ENSBTAG00000008312" 0 0 0 0 6 0 0 1
"ENSBTAG00000008313" 178 364 278 292 233 124 101 196
"ENSBTAG00000008314" 3101 3366 3945 2433 5279 2526 2083 3219
"ENSBTAG00000008318" 0 1 0 0 0 0 0 1
"ENSBTAG00000008319" 7 12 10 5 18 15 7 15
"ENSBTAG00000008320" 348 382 806 248 504 224 327 454
"ENSBTAG00000008321" 746 1010 974 928 1048 839 743 778
"ENSBTAG00000008322" 0 0 0 0 0 0 0 1
"ENSBTAG00000008323" 395 215 99 412 98 60 45 66
"ENSBTAG00000008324" 0 0 0 0 0 0 0 0
"ENSBTAG00000008325" 0 1 6 1 1 4 5 0
"ENSBTAG00000008326" 0 0 0 0 0 0 0 0
"ENSBTAG00000008327" 0 2 11 2 8 0 2 5
"ENSBTAG00000008328" 0 0 4 0 1 0 0 2
"ENSBTAG00000008329" 711 663 616 802 475 469 375 426
"ENSBTAG00000008330" 232 230 247 246 329 182 165 243
"ENSBTAG00000008331" 53 41 43 15 40 89 32 21
"ENSBTAG00000008332" 72 32 38 1 16 5 20 6
"ENSBTAG00000008333" 20 30 23 4 91 26 24 31
"ENSBTAG00000008335" 0 0 0 0 0 0 0 1
"ENSBTAG00000008336" 8 2 1 0 8 6 0 14
"ENSBTAG00000008338" 1438 1199 1323 1220 1338 602 1164 1188
"ENSBTAG00000008339" 1348 1539 1544 1082 1623 1207 1375 1267
"ENSBTAG00000008340" 691 1135 576 784 672 657 539 480
"ENSBTAG00000008341" 2090 3319 3280 1964 11320 3319 2129 3798
"ENSBTAG00000008342" 0 3 0 0 0 1 0 2
"ENSBTAG00000008343" 0 0 0 0 0 0 0 0
"ENSBTAG00000008346" 687 636 785 360 1053 553 800 807
"ENSBTAG00000008347" 358 408 393 455 496 446 296 318
"ENSBTAG00000008348" 94 113 131 78 406 119 90 124
"ENSBTAG00000008349" 262 282 260 338 193 189 272 220
"ENSBTAG00000008350" 433 670 468 353 505 290 261 363
"ENSBTAG00000008351" 1 1 0 0 0 0 2 3
"ENSBTAG00000008352" 38 29 34 93 27 24 62 29
"ENSBTAG00000008353" 132 80 199 121 319 200 100 215
"ENSBTAG00000008355" 594 764 806 507 810 662 678 647
"ENSBTAG00000008357" 0 0 0 0 0 0 0 1
"ENSBTAG00000008359" 0 0 0 0 0 0 0 0
"ENSBTAG00000008361" 926 1228 1125 962 1315 1029 946 980
"ENSBTAG00000008362" 974 1080 911 750 1563 885 672 778
"ENSBTAG00000008363" 15 5 22 10 3 5 7 3
"ENSBTAG00000008365" 9 13 6 3 12 10 3 5
"ENSBTAG00000008366" 17 27 25 15 27 28 28 19
"ENSBTAG00000008367" 1522 1449 1796 1703 2074 1191 1432 1658
"ENSBTAG00000008368" 1 1 3 1 0 0 0 0
"ENSBTAG00000008369" 844 1294 937 1090 1153 951 834 570
"ENSBTAG00000008370" 57 40 53 31 31 34 41 24
"ENSBTAG00000008371" 1470 1065 1493 936 1245 819 1053 1314
"ENSBTAG00000008372" 465 475 646 391 569 484 426 497
"ENSBTAG00000008373" 274 299 271 162 466 212 346 428
"ENSBTAG00000008374" 0 0 1 0 0 0 0 0
"ENSBTAG00000008376" 42 51 36 62 49 47 17 55
"ENSBTAG00000008378" 1876 1975 2401 1789 2828 1524 1690 1961
"ENSBTAG00000008379" 0 0 0 0 0 0 0 0
"ENSBTAG00000008380" 332 339 333 272 425 215 303 303
"ENSBTAG00000008382" 136 149 149 111 197 125 103 160
"ENSBTAG00000008384" 1 5 0 2 0 0 0 1
"ENSBTAG00000008385" 194 226 240 150 328 192 185 178
"ENSBTAG00000008386" 1189 1288 1478 1406 1544 959 1039 1151
"ENSBTAG00000008388" 4137 3666 4467 3538 4919 2940 4244 4122
"ENSBTAG00000008389" 3149 3992 4168 2129 8405 4854 4212 4624
"ENSBTAG00000008390" 4871 6256 3506 5634 6058 4012 3245 3990
"ENSBTAG00000008394" 14 5 18 0 0 1 13 1
"ENSBTAG00000008395" 320 343 456 299 409 370 279 288
"ENSBTAG00000008396" 697 973 694 757 702 760 530 562
"ENSBTAG00000008397" 257 201 374 246 379 237 281 178
"ENSBTAG00000008399" 128 162 125 108 214 170 84 120
"ENSBTAG00000008401" 229 220 329 164 647 290 261 298
"ENSBTAG00000008403" 4707 3931 5380 3587 5964 2743 4426 4310
"ENSBTAG00000008406" 101 109 174 67 218 138 88 116
"ENSBTAG00000008409" 525 519 607 557 1310 654 399 860
"ENSBTAG00000008410" 107 76 76 55 111 92 60 45
"ENSBTAG00000008411" 448 466 503 293 946 480 438 405
"ENSBTAG00000008412" 283 593 397 339 457 428 373 310
"ENSBTAG00000008414" 3058 2772 3315 2580 5212 2015 2166 2963
"ENSBTAG00000008416" 317 245 264 84 301 266 235 209
"ENSBTAG00000008417" 1164 1328 1048 1181 1476 1118 993 1065
"ENSBTAG00000008419" 1584 1814 2469 754 3459 1831 2369 2106
"ENSBTAG00000008420" 1 0 7 2 0 0 4 4
"ENSBTAG00000008421" 374 665 635 445 823 623 610 406
"ENSBTAG00000008423" 157 189 169 165 254 177 102 137
"ENSBTAG00000008424" 1352 2792 1679 979 5830 1970 1134 1994
"ENSBTAG00000008426" 0 0 0 0 0 0 0 0
"ENSBTAG00000008428" 15 6 16 5 43 14 5 9
"ENSBTAG00000008429" 859 751 928 307 1442 736 886 694
"ENSBTAG00000008430" 1 12 15 0 27 5 6 9
"ENSBTAG00000008431" 90 68 91 12 36 21 90 81
"ENSBTAG00000008432" 4795 3927 5152 3389 7343 3292 2809 4762
"ENSBTAG00000008433" 493 428 489 288 681 518 417 392
"ENSBTAG00000008434" 184 341 203 233 181 170 216 139
"ENSBTAG00000008435" 746 971 1020 598 1258 873 681 866
"ENSBTAG00000008436" 63 96 97 78 322 128 62 118
"ENSBTAG00000008437" 263 378 349 40 451 223 318 305
"ENSBTAG00000008438" 1599 1821 1949 1428 1676 1530 1856 1252
"ENSBTAG00000008439" 193 385 202 258 237 265 189 199
"ENSBTAG00000008441" 41 73 156 25 144 72 61 66
"ENSBTAG00000008442" 1344 1352 1093 1282 1544 921 888 1118
"ENSBTAG00000008443" 2314 2044 2215 1787 4500 1569 1511 2247
"ENSBTAG00000008446" 375 425 354 344 594 372 338 343
"ENSBTAG00000008448" 2733 2831 4428 2588 4689 3294 2694 3352
"ENSBTAG00000008449" 0 0 0 0 2 0 0 1
"ENSBTAG00000008452" 1958 1524 704 2084 882 660 201 857
"ENSBTAG00000008453" 601 734 852 514 925 716 597 575
"ENSBTAG00000008457" 1836 2369 2496 2156 2383 1835 1876 1824
"ENSBTAG00000008461" 837 994 1124 878 984 849 835 703
"ENSBTAG00000008462" 233 503 470 206 348 133 206 267
"ENSBTAG00000008463" 0 1 1 0 0 3 3 3
"ENSBTAG00000008464" 19 39 51 19 24 24 30 20
"ENSBTAG00000008465" 113 198 171 138 218 197 157 152
"ENSBTAG00000008466" 38 63 44 18 54 44 33 23
"ENSBTAG00000008467" 367 140 444 190 143 124 297 141
"ENSBTAG00000008468" 219 341 324 190 290 202 230 222
"ENSBTAG00000008470" 1119 1266 1484 1300 2268 1283 1368 1700
"ENSBTAG00000008471" 242 62 189 52 257 168 283 218
"ENSBTAG00000008472" 1068 1254 1112 1259 1301 1047 875 885
"ENSBTAG00000008477" 0 0 3 0 0 0 0 2
"ENSBTAG00000008479" 24 30 22 59 18 13 6 45
"ENSBTAG00000008480" 439 540 536 471 676 387 300 444
"ENSBTAG00000008481" 0 0 0 0 0 0 0 0
"ENSBTAG00000008482" 12299 12133 11328 9465 16330 8981 9768 11899
"ENSBTAG00000008483" 2308 2599 3413 1157 3456 2567 3132 2678
"ENSBTAG00000008484" 745 734 827 688 584 578 740 444
"ENSBTAG00000008485" 226 278 352 214 253 284 386 284
"ENSBTAG00000008487" 17 44 26 45 36 47 24 13
"ENSBTAG00000008490" 604 736 753 635 700 588 727 575
"ENSBTAG00000008491" 0 3 9 0 1 0 0 5
"ENSBTAG00000008492" 1779 1412 1683 1310 2283 1549 1205 1539
"ENSBTAG00000008493" 18 20 38 15 8 14 15 11
"ENSBTAG00000008494" 433 218 368 19 124 57 201 212
"ENSBTAG00000008495" 22 24 7 9 21 17 6 24
"ENSBTAG00000008497" 217 164 152 193 110 81 52 125
"ENSBTAG00000008498" 319 439 259 362 507 306 284 275
"ENSBTAG00000008499" 27 48 55 141 248 159 27 108
"ENSBTAG00000008500" 0 1 1 0 3 0 0 0
"ENSBTAG00000008501" 6 5 9 9 14 1 8 13
"ENSBTAG00000008502" 0 0 0 0 0 0 0 0
"ENSBTAG00000008504" 18 32 41 38 17 26 24 20
"ENSBTAG00000008505" 36 26 21 23 30 10 16 23
"ENSBTAG00000008507" 171 177 337 31 143 89 221 102
"ENSBTAG00000008509" 15 28 30 3 20 14 22 17
"ENSBTAG00000008510" 361 287 419 216 570 256 288 382
"ENSBTAG00000008511" 0 0 0 0 0 0 0 1
"ENSBTAG00000008512" 2 1 1 0 0 2 1 2
"ENSBTAG00000008513" 5 33 41 5 16 25 8 40
"ENSBTAG00000008517" 0 0 0 0 0 0 0 0
"ENSBTAG00000008518" 420 451 650 361 999 441 442 527
"ENSBTAG00000008519" 0 0 0 0 0 0 0 0
"ENSBTAG00000008520" 722 690 873 542 2468 523 542 945
"ENSBTAG00000008523" 1102 952 1389 804 1978 1012 919 1156
"ENSBTAG00000008525" 1903 1511 2012 1232 1856 1173 1723 1939
"ENSBTAG00000008527" 4736 5780 6499 4267 5793 4600 4540 4190
"ENSBTAG00000008528" 1008 1315 1466 871 1674 736 737 941
"ENSBTAG00000008530" 265 236 260 133 326 187 265 230
"ENSBTAG00000008533" 194 136 142 126 192 75 95 130
"ENSBTAG00000008534" 99 33 141 45 14 33 96 31
"ENSBTAG00000008535" 289 240 365 251 394 241 249 279
"ENSBTAG00000008537" 41 54 61 32 96 36 48 63
"ENSBTAG00000008538" 111 105 99 115 268 123 77 206
"ENSBTAG00000008539" 36 38 71 17 72 61 39 58
"ENSBTAG00000008540" 0 1 5 0 0 0 0 1
"ENSBTAG00000008541" 1984 2384 3957 1958 4486 3109 1681 3680
"ENSBTAG00000008542" 4 13 39 3 14 3 9 20
"ENSBTAG00000008543" 319 495 353 393 617 297 233 278
"ENSBTAG00000008544" 921 658 800 588 2690 553 517 1043
"ENSBTAG00000008545" 27 31 52 31 163 31 69 39
"ENSBTAG00000008546" 1 0 2 0 1 2 0 0
"ENSBTAG00000008548" 911 924 717 661 1911 806 573 934
"ENSBTAG00000008550" 201 182 587 121 326 217 295 311
"ENSBTAG00000008551" 9 18 14 36 16 7 22 18
"ENSBTAG00000008552" 413 305 450 245 696 388 402 371
"ENSBTAG00000008553" 56 48 33 56 23 20 8 19
"ENSBTAG00000008554" 12 2 4 21 17 8 6 4
"ENSBTAG00000008555" 36 67 147 22 72 96 93 73
"ENSBTAG00000008556" 16 10 5 5 13 5 4 8
"ENSBTAG00000008557" 79 81 110 81 124 73 83 59
"ENSBTAG00000008562" 507 615 770 471 688 473 632 513
"ENSBTAG00000008564" 1 0 1 5 4 1 7 7
"ENSBTAG00000008567" 75 100 101 93 124 75 63 98
"ENSBTAG00000008568" 4 18 5 3 9 6 8 9
"ENSBTAG00000008570" 9153 17032 9786 10614 8120 11242 11628 6641
"ENSBTAG00000008571" 5 7 0 0 4 0 1 6
"ENSBTAG00000008573" 231 354 476 198 706 218 185 389
"ENSBTAG00000008575" 1307 1194 1748 899 2902 1075 1332 1205
"ENSBTAG00000008576" 112 140 73 113 69 40 45 45
"ENSBTAG00000008577" 1410 1352 1477 1140 1734 1003 1154 1442
"ENSBTAG00000008578" 320 505 322 371 428 417 323 256
"ENSBTAG00000008579" 624 686 700 479 1044 619 443 540
"ENSBTAG00000008583" 64 86 47 41 84 55 65 79
"ENSBTAG00000008584" 107 241 110 122 120 87 97 83
"ENSBTAG00000008585" 402 509 553 332 630 357 452 481
"ENSBTAG00000008587" 153 346 199 48 226 85 150 107
"ENSBTAG00000008588" 5 0 5 3 2 2 6 3
"ENSBTAG00000008590" 965 1428 1413 1171 997 880 802 950
"ENSBTAG00000008591" 571 530 668 401 1289 532 537 617
"ENSBTAG00000008592" 66 123 140 85 255 312 135 149
"ENSBTAG00000008593" 2 8 1 8 3 2 10 9
"ENSBTAG00000008595" 786 1022 1013 1084 1109 891 746 688
"ENSBTAG00000008596" 669 666 742 466 920 421 644 535
"ENSBTAG00000008597" 98 121 144 80 123 76 104 86
"ENSBTAG00000008600" 826 834 900 559 2182 923 502 1055
"ENSBTAG00000008603" 19 40 90 41 73 65 45 36
"ENSBTAG00000008605" 68 43 83 74 137 84 53 190
"ENSBTAG00000008606" 584 824 727 576 958 613 545 564
"ENSBTAG00000008607" 127 181 256 92 258 151 201 159
"ENSBTAG00000008609" 1206 1286 1431 1364 2030 1127 916 1407
"ENSBTAG00000008611" 3542 3843 3275 2909 4426 2493 2755 3320
"ENSBTAG00000008612" 5166 5673 6345 3894 5059 5051 7242 5055
"ENSBTAG00000008613" 216 237 272 223 327 198 230 222
"ENSBTAG00000008614" 9 22 32 10 7 5 12 25
"ENSBTAG00000008617" 1392 1525 1473 1243 1679 1075 1214 1206
"ENSBTAG00000008619" 268 308 416 324 313 274 390 324
"ENSBTAG00000008621" 2847 3367 3700 2557 5779 2151 2563 3239
"ENSBTAG00000008623" 0 0 0 0 0 0 0 0
"ENSBTAG00000008624" 332 485 745 285 731 317 215 429
"ENSBTAG00000008625" 48 65 59 36 114 66 79 60
"ENSBTAG00000008626" 8 12 24 8 34 15 19 23
"ENSBTAG00000008629" 708 634 640 670 1069 543 473 598
"ENSBTAG00000008631" 114 186 257 93 423 290 211 193
"ENSBTAG00000008632" 915 1140 1388 1008 1022 832 678 970
"ENSBTAG00000008633" 216 257 219 176 189 170 229 154
"ENSBTAG00000008634" 358 424 393 280 591 269 243 285
"ENSBTAG00000008635" 7795 9905 8759 1914 7815 5500 5096 5134
"ENSBTAG00000008636" 201 324 386 202 410 320 328 370
"ENSBTAG00000008637" 0 0 0 0 0 0 0 3
"ENSBTAG00000008638" 22 37 64 25 48 54 31 37
"ENSBTAG00000008639" 0 0 7 0 1 1 0 0
"ENSBTAG00000008641" 8 4 3 0 23 23 3 7
"ENSBTAG00000008642" 798 1094 1125 1109 948 772 569 811
"ENSBTAG00000008644" 5 8 7 1 14 18 9 7
"ENSBTAG00000008645" 316 462 293 224 291 321 272 244
"ENSBTAG00000008646" 483 753 668 578 645 638 561 476
"ENSBTAG00000008647" 0 3 1 0 0 5 0 2
"ENSBTAG00000008648" 1479 2389 1723 1774 2597 2316 961 1209
"ENSBTAG00000008649" 286 304 297 231 523 177 205 314
"ENSBTAG00000008650" 14 29 7 26 88 32 22 43
"ENSBTAG00000008652" 0 0 3 0 0 5 0 1
"ENSBTAG00000008654" 355 487 456 363 279 240 360 210
"ENSBTAG00000008656" 784 731 711 843 683 495 277 470
"ENSBTAG00000008661" 76 121 87 197 112 93 20 49
"ENSBTAG00000008664" 868 969 952 844 1111 777 739 727
"ENSBTAG00000008665" 410 480 510 680 393 342 457 431
"ENSBTAG00000008672" 3 10 13 0 5 4 0 2
"ENSBTAG00000008673" 74 52 49 40 37 19 26 38
"ENSBTAG00000008674" 646 928 768 758 1031 770 566 640
"ENSBTAG00000008676" 1 3 7 0 0 3 0 1
"ENSBTAG00000008678" 0 0 0 0 0 0 0 0
"ENSBTAG00000008682" 905 879 1357 741 1253 821 989 997
"ENSBTAG00000008683" 5742 6139 3889 5966 7215 4692 2819 3054
"ENSBTAG00000008684" 4 5 15 1 6 3 4 6
"ENSBTAG00000008685" 301 278 269 201 443 227 241 300
"ENSBTAG00000008686" 80 54 86 66 126 40 54 67
"ENSBTAG00000008687" 106 23 6 17 1 0 0 7
"ENSBTAG00000008688" 423 555 369 349 916 311 363 383
"ENSBTAG00000008690" 275 263 478 165 454 173 282 257
"ENSBTAG00000008692" 1265 2538 1786 1093 1180 1972 1396 861
"ENSBTAG00000008693" 84 129 95 118 141 120 64 147
"ENSBTAG00000008695" 534 667 730 484 908 528 501 506
"ENSBTAG00000008696" 2893 2375 2852 1888 7884 2249 1698 3603
"ENSBTAG00000008699" 987 899 854 738 1658 584 737 971
"ENSBTAG00000008700" 0 0 0 0 0 0 0 0
"ENSBTAG00000008703" 1755 1907 2562 1592 3421 2050 2116 1988
"ENSBTAG00000008704" 33 40 82 54 126 25 53 64
"ENSBTAG00000008705" 162 165 199 165 270 153 141 154
"ENSBTAG00000008707" 0 0 0 0 0 2 0 0
"ENSBTAG00000008708" 40 109 26 128 3 3 6 10
"ENSBTAG00000008709" 705 746 776 526 1527 783 641 888
"ENSBTAG00000008710" 11 2 15 3 2 0 2 6
"ENSBTAG00000008711" 120 212 196 194 145 75 133 115
"ENSBTAG00000008713" 288 427 409 285 345 373 388 337
"ENSBTAG00000008714" 81 67 41 11 27 15 45 40
"ENSBTAG00000008716" 3371 4126 3439 3835 4858 3491 2550 3074
"ENSBTAG00000008717" 4665 8792 4487 4980 7483 6504 3732 9014
"ENSBTAG00000008718" 521 503 972 34 997 359 526 468
"ENSBTAG00000008719" 762 548 657 586 914 543 470 560
"ENSBTAG00000008720" 0 0 3 0 2 0 4 0
"ENSBTAG00000008721" 2375 1819 1784 2664 2424 1293 772 1552
"ENSBTAG00000008723" 83 92 43 265 36 24 33 30
"ENSBTAG00000008726" 101 139 68 149 130 59 57 77
"ENSBTAG00000008728" 2341 1899 2414 1378 3681 1332 1878 2451
"ENSBTAG00000008729" 1925 2308 3187 1930 2782 1787 2141 2452
"ENSBTAG00000008730" 127 223 163 165 223 179 121 169
"ENSBTAG00000008731" 1765 1854 2079 1828 2384 1575 1379 1448
"ENSBTAG00000008732" 672 580 870 650 935 501 512 643
"ENSBTAG00000008733" 2400 2752 2972 1651 7599 2714 1993 3882
"ENSBTAG00000008734" 142 292 80 252 136 53 56 148
"ENSBTAG00000008735" 317 442 684 176 629 340 466 434
"ENSBTAG00000008736" 1151 1161 1325 1242 1750 936 972 1138
"ENSBTAG00000008737" 2207 2350 2186 2101 2952 1790 1812 2128
"ENSBTAG00000008739" 54 74 74 51 288 121 18 97
"ENSBTAG00000008743" 1380 2409 1446 1830 2212 1914 1515 1257
