ID	ensembl_gene_id
A_73_P471873	ENSBTAG00000000185
A_73_105882	ENSBTAG00000000185
A_73_P235797	ENSBTAG00000000185
A_73_P308421	ENSBTAG00000000185
A_73_110020	ENSBTAG00000000184
A_73_P462561	ENSBTAG00000000184
A_73_P363421	ENSBTAG00000000184
A_73_102318	ENSBTAG00000000186
A_73_120348	ENSBTAG00000000188
A_73_P311061	ENSBTAG00000000188
A_73_108404	ENSBTAG00000000189
A_73_118542	ENSBTAG00000000191
A_73_P046016	ENSBTAG00000000197
A_73_110779	ENSBTAG00000000199
A_73_P441096	ENSBTAG00000000199
A_73_P095836	ENSBTAG00000023697
A_73_105854	ENSBTAG00000000202
A_73_P350471	ENSBTAG00000000202
A_73_107579	ENSBTAG00000000203
A_73_P400991	ENSBTAG00000000204
A_73_P375386	ENSBTAG00000000204
A_73_P349691	ENSBTAG00000000205
A_73_108541	ENSBTAG00000000205
A_73_P503348	ENSBTAG00000000205
A_73_103410	ENSBTAG00000000207
A_73_P096171	ENSBTAG00000000210
A_73_P305361	ENSBTAG00000000213
A_73_108971	ENSBTAG00000000213
A_73_P344406	ENSBTAG00000000213
A_73_P341391	ENSBTAG00000000212
A_73_101369	ENSBTAG00000000212
A_73_P072096	ENSBTAG00000000215
A_73_P396406	ENSBTAG00000000215
A_73_109939	ENSBTAG00000000219
A_73_P381276	ENSBTAG00000000219
A_73_P078971	ENSBTAG00000000218
A_73_P039851	ENSBTAG00000000225
A_73_P366391	ENSBTAG00000000225
A_73_P059876	ENSBTAG00000000226
A_73_P446856	ENSBTAG00000013481
A_73_102936	ENSBTAG00000000231
A_73_P038616	ENSBTAG00000000231
A_73_120506	ENSBTAG00000000232
A_73_P039476	ENSBTAG00000000236
A_73_P319881	ENSBTAG00000000237
A_73_P066931	ENSBTAG00000000237
A_73_118132	ENSBTAG00000000238
A_73_P363311	ENSBTAG00000000240
A_73_P503378	ENSBTAG00000000240
A_73_110360	ENSBTAG00000000240
A_73_P366486	ENSBTAG00000000241
A_73_P319821	ENSBTAG00000000241
A_73_101372	ENSBTAG00000000241
A_73_P123061	ENSBTAG00000000243
A_73_112706	ENSBTAG00000000243
A_73_118282	ENSBTAG00000000245
A_73_109267	ENSBTAG00000000246
A_73_P261201	ENSBTAG00000000244
A_73_P273426	ENSBTAG00000000244
A_73_P061531	ENSBTAG00000000244
A_73_113297	ENSBTAG00000000250
A_73_P035921	ENSBTAG00000000251
A_73_P251851	ENSBTAG00000000251
A_73_119595	ENSBTAG00000000252
A_73_P083616	ENSBTAG00000019868
A_73_P040366	ENSBTAG00000000257
A_73_P093296	ENSBTAG00000051542
A_73_P258726	ENSBTAG00000051542
A_73_110294	ENSBTAG00000000259
A_73_100607	ENSBTAG00000000260
A_73_107654	ENSBTAG00000000264
A_73_P323892	ENSBTAG00000000266
A_73_P303711	ENSBTAG00000000266
A_73_P051846	ENSBTAG00000000266
A_73_P065021	ENSBTAG00000000267
A_73_P142141	ENSBTAG00000000269
A_73_118572	ENSBTAG00000000269
A_73_P492933	ENSBTAG00000000269
A_73_P047866	ENSBTAG00000000271
A_73_P088806	ENSBTAG00000000274
A_73_P048401	ENSBTAG00000000274
A_73_111391	ENSBTAG00000000277
A_73_100982	ENSBTAG00000000278
A_73_118949	ENSBTAG00000000279
A_73_109654	ENSBTAG00000000281
A_73_P092786	ENSBTAG00000000283
A_73_P060686	ENSBTAG00000000284
A_73_P486043	ENSBTAG00000000285
A_73_P381331	ENSBTAG00000000285
A_73_P376156	ENSBTAG00000000285
A_73_113979	ENSBTAG00000000285
A_73_102467	ENSBTAG00000000287
A_73_119946	ENSBTAG00000000289
A_73_P398326	ENSBTAG00000000289
A_73_P346171	ENSBTAG00000000289
A_73_P338231	ENSBTAG00000000291
A_73_P073496	ENSBTAG00000000291
A_73_P331371	ENSBTAG00000000292
A_73_117911	ENSBTAG00000000292
A_73_P427861	ENSBTAG00000000292
A_73_P322766	ENSBTAG00000000292
A_73_P110196	ENSBTAG00000000295
A_73_P486558	ENSBTAG00000000295
A_73_P287756	ENSBTAG00000000297
A_73_P031436	ENSBTAG00000000297
A_73_P378206	ENSBTAG00000000296
A_73_112845	ENSBTAG00000000296
A_73_P078326	ENSBTAG00000000300
A_73_P493379	ENSBTAG00000000301
A_73_109986	ENSBTAG00000000301
A_73_117930	ENSBTAG00000000305
A_73_P464446	ENSBTAG00000000305
A_73_111988	ENSBTAG00000039425
A_73_P042916	ENSBTAG00000000308
A_73_P117436	ENSBTAG00000000310
A_73_108162	ENSBTAG00000000310
A_73_P394031	ENSBTAG00000000310
A_73_101443	ENSBTAG00000000309
A_73_102398	ENSBTAG00000000313
A_73_P294031	ENSBTAG00000000312
A_73_P049001	ENSBTAG00000000312
A_73_P295981	ENSBTAG00000000315
A_73_113479	ENSBTAG00000000315
A_73_118693	ENSBTAG00000000317
A_73_P305631	ENSBTAG00000000317
A_73_P042596	ENSBTAG00000000321
A_73_101689	ENSBTAG00000000326
A_73_P035071	ENSBTAG00000000328
A_73_103332	ENSBTAG00000000329
A_73_P067676	ENSBTAG00000000332
A_73_P194232	ENSBTAG00000000332
A_73_111124	ENSBTAG00000000335
A_73_P074811	ENSBTAG00000000340
A_73_P424006	ENSBTAG00000000340
A_73_P058716	ENSBTAG00000000342
A_73_P332251	ENSBTAG00000000342
A_73_P264161	ENSBTAG00000000342
A_73_P359551	ENSBTAG00000000342
A_73_106199	ENSBTAG00000000343
A_73_P271876	ENSBTAG00000000344
A_73_P051556	ENSBTAG00000000344
A_73_P302526	ENSBTAG00000000345
A_73_113383	ENSBTAG00000000345
A_73_P260556	ENSBTAG00000000345
A_73_112058	ENSBTAG00000000347
A_73_106317	ENSBTAG00000000354
A_73_116080	ENSBTAG00000000355
A_73_100452	ENSBTAG00000000357
A_73_P080786	ENSBTAG00000000359
A_73_P080791	ENSBTAG00000000362
A_73_102271	ENSBTAG00000000365
A_73_P354791	ENSBTAG00000000365
A_73_117813	ENSBTAG00000000363
A_73_P104446	ENSBTAG00000000363
A_73_P075536	ENSBTAG00000027443
A_73_P091296	ENSBTAG00000000369
A_73_118381	ENSBTAG00000000371
A_73_P431626	ENSBTAG00000000371
A_73_P379391	ENSBTAG00000000371
A_73_P082696	ENSBTAG00000000374
A_73_P388006	ENSBTAG00000000374
A_73_P043496	ENSBTAG00000000375
A_73_118348	ENSBTAG00000000375
A_73_P384496	ENSBTAG00000000375
A_73_101707	ENSBTAG00000000377
A_73_P030851	ENSBTAG00000000379
A_73_102182	ENSBTAG00000000381
A_73_113545	ENSBTAG00000000382
A_73_P071801	ENSBTAG00000000385
A_73_P308236	ENSBTAG00000000385
A_73_114597	ENSBTAG00000000385
A_73_P048211	ENSBTAG00000000387
A_73_P251171	ENSBTAG00000000387
A_73_115723	ENSBTAG00000000387
A_73_P089576	ENSBTAG00000000389
A_73_116737	ENSBTAG00000000390
A_73_P166577	ENSBTAG00000000390
A_73_P322640	ENSBTAG00000000392
A_73_P473966	ENSBTAG00000000392
A_73_106518	ENSBTAG00000000392
A_73_P271752	ENSBTAG00000000392
A_73_101344	ENSBTAG00000000393
A_73_P097011	ENSBTAG00000000394
A_73_P046036	ENSBTAG00000000396
A_73_P084001	ENSBTAG00000000399
A_73_P048526	ENSBTAG00000000400
A_73_P051011	ENSBTAG00000000404
A_73_104577	ENSBTAG00000000404
A_73_P039501	ENSBTAG00000000405
A_73_108566	ENSBTAG00000000405
A_73_115737	ENSBTAG00000000409
A_73_P369871	ENSBTAG00000000409
A_73_112723	ENSBTAG00000000411
A_73_P379106	ENSBTAG00000000411
A_73_P084496	ENSBTAG00000000413
A_73_117787	ENSBTAG00000000414
A_73_P366871	ENSBTAG00000000415
A_73_P279746	ENSBTAG00000000415
A_73_P346956	ENSBTAG00000000415
A_73_P069831	ENSBTAG00000000415
A_73_P315116	ENSBTAG00000000415
A_73_P380031	ENSBTAG00000000415
A_73_118405	ENSBTAG00000055145
A_73_P361361	ENSBTAG00000055145
A_73_P066956	ENSBTAG00000000418
A_73_118372	ENSBTAG00000000419
A_73_P253016	ENSBTAG00000031688
A_73_120270	ENSBTAG00000031688
A_73_P334931	ENSBTAG00000031688
A_73_108349	ENSBTAG00000000428
A_73_P391346	ENSBTAG00000000432
A_73_P449666	ENSBTAG00000000432
A_73_P175637	ENSBTAG00000000432
A_73_P167477	ENSBTAG00000000432
A_73_P079151	ENSBTAG00000000432
A_73_P039441	ENSBTAG00000000434
A_73_101765	ENSBTAG00000000434
A_73_106743	ENSBTAG00000000436
A_73_117074	ENSBTAG00000000435
A_73_P327936	ENSBTAG00000000435
A_73_P439981	ENSBTAG00000000435
A_73_P359741	ENSBTAG00000000435
A_73_P446871	ENSBTAG00000000435
A_73_P110321	ENSBTAG00000000438
A_73_108443	ENSBTAG00000000438
A_73_P060086	ENSBTAG00000000437
A_73_P044946	ENSBTAG00000000440
A_73_113745	ENSBTAG00000000439
A_73_P331126	ENSBTAG00000000439
A_73_P372581	ENSBTAG00000000439
A_73_P347541	ENSBTAG00000000442
A_73_117622	ENSBTAG00000000442
A_73_P048991	ENSBTAG00000023730
A_73_P108066	ENSBTAG00000000445
A_73_115490	ENSBTAG00000000445
A_73_P205302	ENSBTAG00000000447
A_73_100190	ENSBTAG00000000447
A_73_P050306	ENSBTAG00000000448
A_73_P040286	ENSBTAG00000000451
A_73_P318466	ENSBTAG00000000454
A_73_P355466	ENSBTAG00000000454
A_73_120754	ENSBTAG00000000454
A_73_P306276	ENSBTAG00000000455
A_73_P405766	ENSBTAG00000000455
A_73_P041781	ENSBTAG00000000455
A_73_P343431	ENSBTAG00000000455
A_73_P348221	ENSBTAG00000000455
A_73_109323	ENSBTAG00000000455
A_73_P335861	ENSBTAG00000000455
A_73_112774	ENSBTAG00000000456
A_73_P031991	ENSBTAG00000000456
A_73_106967	ENSBTAG00000000458
A_73_P167997	ENSBTAG00000000458
A_73_100119	ENSBTAG00000000457
A_73_102970	ENSBTAG00000000459
A_73_120115	ENSBTAG00000000462
A_73_P281341	ENSBTAG00000000462
A_73_P037416	ENSBTAG00000037651
A_73_112508	ENSBTAG00000000470
A_73_P050211	ENSBTAG00000000469
A_73_P067482	ENSBTAG00000000472
A_73_P087571	ENSBTAG00000000473
A_73_P096461	ENSBTAG00000000476
A_73_P103086	ENSBTAG00000000477
A_73_P063586	ENSBTAG00000000478
A_73_P117346	ENSBTAG00000040199
A_73_107612	ENSBTAG00000040199
A_73_P458101	ENSBTAG00000000480
A_73_P441326	ENSBTAG00000000480
A_73_106924	ENSBTAG00000000480
A_73_114278	ENSBTAG00000000483
A_73_P352131	ENSBTAG00000000484
A_73_P101616	ENSBTAG00000000484
A_73_P450996	ENSBTAG00000000484
A_73_110321	ENSBTAG00000000484
A_73_P350056	ENSBTAG00000000484
A_73_101841	ENSBTAG00000000489
A_73_P354431	ENSBTAG00000000489
A_73_P318991	ENSBTAG00000000489
A_73_113682	ENSBTAG00000000490
A_73_P305216	ENSBTAG00000000495
A_73_P044221	ENSBTAG00000000495
A_73_108799	ENSBTAG00000000497
A_73_P154362	ENSBTAG00000000497
A_73_P113526	ENSBTAG00000000494
A_73_108702	ENSBTAG00000000500
A_73_P102051	ENSBTAG00000000500
A_73_P259641	ENSBTAG00000000501
A_73_P042906	ENSBTAG00000000501
A_73_115257	ENSBTAG00000000505
A_73_P500433	ENSBTAG00000000505
A_73_P285091	ENSBTAG00000000505
A_73_105006	ENSBTAG00000000507
A_73_P273901	ENSBTAG00000000507
A_73_P301251	ENSBTAG00000000510
A_73_101737	ENSBTAG00000000510
A_73_P468313	ENSBTAG00000000510
A_73_P314791	ENSBTAG00000000512
A_73_104537	ENSBTAG00000000512
A_73_P046646	ENSBTAG00000000516
A_73_P054171	ENSBTAG00000000517
A_73_P283836	ENSBTAG00000000522
A_73_112957	ENSBTAG00000000522
A_73_P268131	ENSBTAG00000000522
A_73_P177797	ENSBTAG00000000522
A_73_P252571	ENSBTAG00000000522
A_73_P253656	ENSBTAG00000000522
A_73_P252786	ENSBTAG00000000522
